t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,968,721,4.00,30.0,1,0,300,0,0,0,0,0,1.00,5,75
20,853,1011,4.00,50.0,1,0,300,0,0,0,0,0,1.00,5,75
30,608,939,4.00,50.0,1,0,300,0,0,0,0,0,1.00,5,75
40,408,896,4.00,50.0,1,0,450,1,0,0,0,0,1.00,5,75
50,263,711,4.00,70.0,1,0,450,1,0,0,0,0,1.00,5,75
60,215,548,4.00,82.7,1,0,450,1,0,0,0,0,1.00,5,75
70,183,487,4.00,89.7,1,0,530,1,1,0,0,0,1.00,5,75
80,169,427,6.00,89.7,2,0,530,1,1,0,0,0,1.00,5,75
90,127,316,6.00,109.4,2,0,610,1,2,0,0,0,1.00,5,75
100,60,0,6.00,109.4,2,0,610,1,2,0,0,0,0.80,5,75
110,45,147,7.00,129.1,3,0,690,1,3,0,0,0,1.00,5,75
120,54,316,8.00,129.1,3,0,770,1,4,0,0,0,1.00,5,75
130,77,757,8.00,136.1,3,0,770,1,4,0,0,0,1.00,5,75
140,66,904,8.00,136.1,3,0,770,1,4,0,0,0,1.00,5,75
150,50,923,10.00,143.1,4,0,850,1,5,0,0,0,1.00,5,75
160,70,1152,13.00,143.1,6,0,850,1,5,0,0,0,1.00,5,75
170,155,1502,14.00,150.1,6,0,930,1,6,0,0,0,1.00,5,280
180,199,1502,14.00,150.1,6,0,930,1,6,0,0,0,1.00,5,529
190,190,1163,18.00,166.3,8,0,930,1,7,0,0,0,1.00,5,557
200,289,1539,19.00,169.8,9,0,930,1,7,0,0,0,1.00,5,557
210,326,761,21.00,169.8,10,0,930,1,7,0,0,0,1.00,5,557
220,436,468,24.00,176.8,11,0,930,1,8,0,0,0,1.00,5,557
230,600,228,28.00,176.8,13,0,930,1,8,0,0,0,1.00,5,557
240,831,623,32.00,183.8,15,1,930,1,9,0,0,0,1.00,5,557
250,1118,1239,32.53,183.8,15,1,930,1,9,0,0,0,1.00,5,557
260,1351,1239,32.08,183.8,15,1,930,1,9,0,0,0,1.00,5,557
270,1551,921,37.00,183.8,18,1,930,1,9,0,0,0,1.00,5,557
280,1936,1239,43.95,196.5,20,2,930,1,9,0,0,0,1.00,5,557
290,2100,1239,43.95,196.5,20,2,930,1,9,0,0,0,1.00,216,557
300,2100,1239,43.95,196.5,20,2,930,1,9,0,0,0,1.00,560,557
